 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Parts List              1202/1202  Selected Parts             23-January-2018 15:05
                                                           INCH units

Part             X         Y     Rot  Grid  T/B  'Device', 'Outline'

R406          2.8404    1.5982   90.0  A1   (T)  '0R0201-PAD', '0R0201-PAD'
R407          2.2274    2.8062   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R408          2.7260    2.6240  270.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R409          2.3476    2.9482   90.0  A1   (T)  'R0201H12', 'R0201H12'
R410          1.8130    2.8920   90.0  A1   (T)  'R0201H12', 'R0201H12'
R412          2.8184    2.9981    0.0  A1   (T)  '0R0805-PAD-U', '0R0805-PAD-U'
R413          1.6600    2.9150  180.0  A1   (T)  'R402H16', 'R402H16'
R414          2.2154    2.6881   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R415          1.7444    3.1681   90.0  A1   (T)  '0R0402-PAD', '0R0402-PAD'
R416          2.3204    3.1732    0.0  A1   (T)  '0R0603-PAD-U', '0R0603-PAD-U'
R417          2.5604    3.1782    0.0  A1   (T)  '0R0603-PAD-U', '0R0603-PAD-U'
R419          6.8954    1.6582  270.0  A1   (T)  'R402H16', 'R402H16'
R420          5.9204    3.6231  180.0  A1   (B)  'R0201H12_B', 'R0201H12_B'
R421          1.5944    1.9672  180.0  A1   (T)  '0R1206-PAD-1', '0R1206-PAD-1'
R422          1.4204    3.0482   90.0  A1   (T)  '0R1206-PAD-1', '0R1206-PAD-1'
R423          5.8904    3.6231  180.0  A1   (B)  'R0201H12_B', 'R0201H12_B'
R424          5.7454    3.5951    0.0  A1   (T)  'R402H16', 'R402H16'
