 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     298/298  Selected Drills           23-January-2018 15:05
                        298 Nails,  1761 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$149      4.8334    3.6890   2  A1   (T)  #770  GPIO_48          T PIN TP52.1
$150      4.7895    3.7510   2  A1   (T)  #653  FP_RST_ODL       T PIN TP94.1
$151      4.5540    3.5460   3  A1   (T)  #649  GP_9             T PIN TP102.1
$152      4.5094    3.5602   4  A1   (T)  #655  MCSI2_RCOMP      T PIN TB_TP110.1
$153      4.4565    3.5640   3  A1   (T)  #656  MCSI1_RCOMP      T PIN TB_TP111.1
$154      4.3244    3.5781   1  A1   (T)  #559  TMS_TMSC         T PIN TB_TP24.1
$155      4.4054    3.6700   3  A1   (T)  #640  NFC_INT_L        T PIN TP87.1
$156      4.3954    3.7200   3  A1   (T)  #660  EC_PCH_WAKE_ODL  T PIN TB_TP179.1
$157      4.3004    3.7891   2  A1   (T)  #560  TDO_EXTA         T PIN TB_TP26.1
$158      4.2669    3.8582   2  A1   (T)  #558  TDI_EXTB         T PIN TB_TP27.1
$159      4.2404    3.7761   3  A1   (T)  #556  EXTE_TRIGIN      T PIN TB_TP159.1
$160      4.1875    3.5711   1  A1   (T)  #561  SVID_ALERT_L     T PIN TB_TP29.1
$161      4.0704    3.5781   3  A1   (T)  #474  APL_C1           T PIN TP37.1
$162      4.0054    3.5781   2  A1   (T)  #477  APL_F1           T PIN TP64.1
$163      3.6924    3.5932   1  A1   (T)  #405  PP3300_THRM      T PIN TB_TP65.1
$164      3.6522    3.6920   1  A1   (T)  #1071 PP3300_THRM_R    T PIN TB_TP64.1
$165      3.7904    3.7750   3  A1   (T)  #404  EC_RST_R_L       T PIN TB_TP177.1
$166      3.7884    3.8281   3  A1   (T)  #975  EC_RST_ODL       T PIN TB_TP178.1
$167      3.6064    3.9472   1  A1   (T)  #170  PP1800_S         T PIN TB_TP80.1
$168      3.3654    3.8442   1  A1   (T)  #204  PP3300_INA       T PIN TB_TP71.1
$169      3.1054    3.8192   2  A1   (T)  #276  PP3300_RTC       T PIN TB_TP67.1
$170      3.0654    3.8682   3  A1   (T)  #155  PP1800_SOC_A     T PIN TB_TP78.1
$171      2.9294    3.4192   1  A1   (T)  #8    PP1050_S         T PIN TB_TP90.1
$172      2.7004    3.2401   1  A1   (T)  #45   PP1240_A         T PIN TB_TP86.1
$173      2.7044    3.1142   1  A1   (T)  #52   PP1800_DRAM_U    T PIN TB_TP82.1
$174      2.5580    3.1070   1  A1   (T)  #55   PP1240_A_R       T PIN TB_TP85.1
$175      2.5664    2.9562   1  A1   (T)  #36   LX5              T PIN TB_TP112.1
$176      2.6614    2.9312   1  A1   (T)  #37   PP1800_DRAM_U_R  T PIN TB_TP81.1
$177      2.8120    2.9100   1  A1   (T)  #57   PP1050_S_R       T PIN TB_TP89.1
$178      2.8080    2.7590   1  A1   (T)  #10   LX3              T PIN TB_TP114.1
$179      2.4220    2.5070   1  A1   (T)  #24   PP3300_LDO_PMIC  T PIN TB_TP70.1
$180      2.3075    2.5120   1  A1   (T)  #29   PP1100_VDDQ_SW   T PIN TB_TP87.1
$181      2.1104    2.6362   1  A1   (T)  #31   DRVL6            T PIN TB_TP188.1
$182      2.2810    2.9270   1  A1   (T)  #39   PP1800_SENSOR_U_R T PIN TB_TP79.1
$183      2.3990    2.9590   1  A1   (T)  #44   LX4              T PIN TB_TP113.1
$184      2.3650    3.1240   1  A1   (T)  #56   PP1800_A_R       T PIN TB_TP83.1
$185      2.4274    3.4082   3  A1   (T)  #659  TOUCHSCREEN_INT_1V8_ODL T PIN TB_TP23.1
$186      2.3838    3.4358   3  A1   (T)  #1106 TOUCHSCREEN_INT_Q T PIN TB_TP22.1
$187      2.2454    3.5181   1  A1   (T)  #1103 PCH_I2C_TCS_1V8_SCL_Q T PIN TB_TP102.1
$188      2.2374    3.3632   1  A1   (T)  #1104 PCH_I2C_TCS_1V8_SDA_Q T PIN TB_TP101.1
$189      2.0836    3.4394   1  A1   (T)  #232  TOUCHSCREEN_RST_3V3_ODL T PIN TB_TP21.1
$190      1.7526    3.5150   1  A1   (T)  #84   PP3300_EDP_DX_R  T PIN TB_TP72.1
$191      1.6404    3.3762   3  A1   (T)  #85   PP3300_EDP_DX    T PIN TB_TP73.1
$192      1.5053    3.2983   1  A1   (T)  #238  EDP_HPD_3V3      T PIN TB_TP171.1
